,comments,users
190,质量蛮好的还不错,z***g
191,喜欢的风格，有气质,泥***r
192,领子很好看,曼***m
193,面料很好，很舒服！,s***始
194,家人帮忙收了，期待！,z***0
195,有范儿，做工好,米***油
196,衣服非常满意，卖家服务非常满意，穿得合身，给全五分。,x***8
197,干练典雅知性。非常满意！,年***女
198,值得等待。确实不错。,v***6
199,看起来挺好的,七***5
200,小虫家的衣服没说的,q***j
201,一起拍了丝光棉和衬衫。丝光棉现货立刻就发货了，衬衫预售，今天终于收到衬衫了。170高117斤，骨架大腰细，所以看起来一点不胖。这个款型非常适合我，领子立起来翻下去都好看。衬衫质感非常好，希望洗后也如此。适合束在裤子里，跟金驼色直筒裤或阔腿裤绝配。可能是我肩膀宽把衣服撑起来了，袖子对我来说只有7分，要是再长一丢丢就更好了。看别的买家晒的图袖子就比我穿着长，我自己的问题。,p***e
202,上身效果很好，喜欢！！！,q***0
203,小虫家的医院无可挑剔。,g***9
204,非常有味道的一件白衬衣，喜欢,t***2
205,漂亮！好评！,陈***2
206,大小刚好，很显瘦哦～,糖***8
207,去年买过同款，今年又拍件，喜欢,s***0
208,一如既往的好。,j***5
209,一如既往的好！,天***7
210,非常非常喜欢,徐***5
211,真心好看,随***7
212,感觉挺好的,1***u
213,宝贝很好?,t***9
214,试穿效果不错，喜欢,巴***u
215,非常喜欢！,b***n
216,质量特别好，配裙子好看,n***9
217,面料舒服,a***r
218,面料和车工超级棒，这个价钱能够买到大牌衣服的品质。好评!100斤一米六s码很合适。,爸***园
219,面料厚实，上身效果不错，做工也好，值得购买，很满意的一次购物！,福***0
220,特别漂亮有气质，很喜欢,i***n
221,非常喜欢,x***3
222,很好，大气！也要个人的气质相互衬托。面料算很有质感的，想再买一件的冲动。十分好评。,t***z
223,此用户没有填写评价。,c***k
224,面料是易皱的，但是衣领真的可以立起来！白色非常正，很白很白的白。款式真的很时尚，第一天穿就得到了老板的夸奖。让我教同事们怎么搭配衣服。??,陶***y
225,非常好看而且质量好的一件！设计感极强！是自己喜欢的样子。会再次光顾的！,猫***8
226,时尚大气的款式，上身效果很好，有种知性的感觉。小虫家的衣服虽然价格相比其他店家不是很便宜，但是质量一直很好，面料很大牌上档次。这款衬衣是落肩设计很显瘦，几乎不挑身材，肩部宽厚的MM可以果断入这款。而且小虫家的衣服版型偏大一点点，我1米72的身高经常能穿到s或m号，时常会产生错觉，以为自己又瘦了??。总之，非常满意！,g***k
227,第一次买小虫的衣服 以前一直在戎美买了3年 至少都有十万以上的消费了。很少上照片 这次确实因为蛮喜欢这件白衬衣。 重点说一下尺寸 平时买衣服都是中码 163cm 117斤。因为不喜欢太宽松的衣服 看了尺码表 这件买了最小的xs 到货前一直心里有点忐忑。买回后一试 感觉还略有些肥呢 请姐妹们参考。式样有惊喜 立领有气场 布料较容易褶皱 90分。,心***事
228,特别好看，简约大气。适合高个子。170cm，120今斤大小正好,家***4
229,虽然等了很久 买到手还是觉得很值得的，设计非常好的一件衣服，可以说是非常非常漂亮了,张***钰
230,习惯好评，不是很好看，面料也说不清是啥的..穿着一般..,y***4
231,比较有设计感 上身洋气,5***可
232,衣服偏大，如果有图片搭配的裤子就更好了。款型有范儿。,西***y
233,质感不错，版型也喜欢，但是我好像买太大了&hellip;&hellip;,w***8
234,第一件染了色才入了第二件，没想到同学用了办把第一洗干净了，现在多了一件，有谁要么？全新没拆封的,悠***斋
235,虽然等了很久，但值得。衣服手感好，不透，穿在身上很显气质,t***4
236,还不错，总体感觉还行，如果领子在挺些会更好。,t***4
237,样子不错，但是质地真的很薄。,j***6
238,面料舒服。时尚。准备配牛仔裤出去踏春,梅***7
239,很有型，非常喜歡只是料子很透，可能要加內搭才行。,克***高
240,面料很好，质量很好，上身效果好看,h***2
241,设计感很强，好看，喜欢！,s***花
242,质量很好 美,程***e
243,"评价方未及时做出评价,系统默认好评!",z***7
244,上身效果很好就是大了大码,l***2
245,珍珠扣子不是固定的 一抬手 就绷掉了,月***2
246,衣衣收到，还没有到穿的季节，衬衣很满意，裙子很美！,美***好
247,搭配卖家的黑裤子，朋友说让人眼前一亮,兜***0
248,样子非常不错，有点冷还没穿过,c***3
249,样子不错，喜欢立领.,l***2
250,质量好，款式潮，物流快，快递员不行没打电话和信息通知，把衣服丢在门口,5***莲
251,穿上有型，赞赞赞,w***1
252,质量不错 很有质感,t***g
253,衣服还行,z***色
254,和描述的一样，上身效果不错，配我的纸袋裤和鱼尾裙效果出奇的好哦！,地***a
255,还没试，盼着天气快点热,梦***2
256,不错凹造型,n***6
257,质量嗯哼,开***9
258,是期待的样子、很喜欢、未收货之前还考虑退货、没想到提前发货了、上身后好喜欢、搭配黑色风衣再搭条裙子、很有型、喜欢,赵***子
259,衣服不错，发货太慢,k***2
260,非常好看！很有气质,j***7
261,质量很好，M码有点大,d***0
262,衣服收到了，试穿了一下，没有穿出想象中的效果，感觉有点啰嗦，和我的外衣搭不是很合适，适合单穿，但衣服料子不错，棉的，刚上身凉凉的，比较舒适，爱上褶，总的来说，布料和价位匹配，给好评,小***呦
263,刚收到直接给确认的，因为这确实是一款不错的白衬衣，颜色版型细节都做的不错。感觉是有点皱褶啊！很希望洗了以后领子不塌，型还会保持得很好，那就相当不错了，比较满意吧，给个高分。,爱***董
264,一个字&ldquo;赞&rdquo;??,爱***6
265,性价比高，就是洗好要烫麻烦点,t***e
266,好大一件,t***1
267,衬衫很有范，喜欢,w***c
268,超有型，喜欢,笑***咪
269,衣服收到了，布料有光泽，很有质感，做工优良，纽扣很精致，一分价钱一分货！170.123斤m号，和模特大小一样感觉，很满意！,花***8
270,衬衣非常棒，款式大气，是那种上身就能有范的款式，个人感觉偏大，但不想麻烦退换了，穿在身上比图片模特更宽松。,卜***丘
271,162，三围：87、68、88。之前看了评价说衣服偏大，就买了S。上身效果就是小小宽松，也不错，但少了一份潇洒感，我是平肩，肩宽38.5，应该买M的，造型感会更强。急着穿就不退换了。,双***脆
272,喜欢款式，显瘦，有范儿，质量也不错，宜休闲宜商务，易穿搭。只是易皱。,i***g
273,挺不错的，很满意,尤***女
274,还没试穿，以后追加图。看着不错,陈***人
275,有范，质量好,幸***3
276,衣服不止偏大一码。亲们买的时候参考一下。质量一如既往。,乔***艾
277,1米65，，98斤，拿了S码，小宽松，做工不错，小贵。穿着气场超大。平肩膀，自带垫肩的感觉。,r***6
278,质量很好,齐***4
279,这件衬衣看销售量就知道了，得到了这么多人的认可，领子特别有范儿。简单利索，有点小廓形，配紧身牛仔裤，再加一双高跟鞋，真的完美。布料的话有一点点微透。,l***8
280,特别好看，白色不透，面料轻薄，款式没有蝙蝠袖的抬手障碍，上身有型。,j***y
281,越来越喜欢小虫的衣服风格，买了就从没后悔过,v***y
282,面料有型，穿上身非常有设计感，平铺没拍出效果，好看,翠***小
283,质量很好，虽然小贵，但是值！,f***4
284,衣服好好看。本以为穿起来会显胖。结果出乎意料的显瘦。好看好看！第一次买到这么合心意的衬衫。期待还没发货的那件。???,y***5
285,款式好看，显瘦，有气质。面料也不错，看着有档次，质感不错。性价比很高。五分。,h***8
286,衬衫设计得体，既优雅又帅气。 如尺寸稍大点就更完美。 建议：增加黑色衬衫，第一时间回购。,快***戈
287,非常漂亮大气上档次的衬衣。大爱!平时穿XL的，但这款属于宽松型的，根据客服建议买了大号，很合适;如果选择M的也不会小。总之，是一次愉快的购物。,来***6
288,好看好看好看  料子好穿着冰冰的夏天肯定凉快  手工好  样子好。年后购物的最满意的购物。老板多多发财???,张***8
289,"衬衣从设计,做工,包装的每一个环节都是用心良苦，面料也是我喜欢的，上身效果挺好的，非常满意",s***7
290,第一次在淘宝上买到满意的衣服， 原本都放弃网上买衣服了。谢谢。,跟***活
291,太好看啦，本来以为会很OL，结果发现也可以很休闲嘛，不怎么透明，布料也很不错，喜欢,朱***e
292,非常喜欢的一款衬衣，优雅、时尚、简单、白净，小虫的品质让人满意！,月***宝
293,好喜歡的白襯衫,t***3
294,第一次在虫家买，收到衣服后觉得衣服面料不错，设计不错，但还没有正式上身穿着，会追加,z***r
295,老顾客了，小虫家的衣服买了很多，性价比高，这件衣服上身效果很好，可以单穿也可以打底，洋气,n***t
